slug,clashes_before,clashes_after,energy_before_kJ,energy_after_kJ,energy_drop_kJ,time_s,source
fast-ft,1.0,1.0,223323.9236547185,11340.85205704698,211983.07159767151,12.156954526901243,openmm_minimized
fcfp,5.0,7.0,310904.5198951285,9557.284647257433,301347.2352478711,13.417711734771729,openmm_minimized
fcomfp,10.0,9.0,2483444555.4924006,16418.018426423387,2483428137.473974,15.508123874664308,openmm_minimized
ffdronpa,4.0,5.0,82297.60792121192,10937.505722205611,71360.10219900632,11.58241891860962,openmm_minimized
fp586,4.0,9.0,90840.58041035934,12361.665490945576,78478.91491941376,12.320396423339844,openmm_minimized
fpaagar,7.0,11.0,6526815.419631997,10073.956971892823,6516741.462660104,14.180190801620483,openmm_minimized
fpag_frag,8.0,11.0,928317.069136997,8608.921994286966,919708.14714271,15.36426854133606,openmm_minimized
fpcondchrom,6.0,9.0,661113.7902525888,11371.83174223585,649741.958510353,11.32755994796753,openmm_minimized
fpmcavgr77,6.0,8.0,76317.9061321178,11595.877417773994,64722.0287143438,13.813783884048462,openmm_minimized
fprfl23,9.0,11.0,439784.71828315937,14348.809398245654,425435.9088849137,10.848656415939333,openmm_minimized
fr-1,4.0,6.0,108030.33168249264,10707.617096526455,97322.71458596618,13.288673877716064,openmm_minimized
free-use-gfp,9.0,9.0,50744.47399518312,5979.298431222334,44765.17556396079,11.263244867324827,openmm_minimized
frskylan-s,5.0,6.0,67282.67923475611,8015.896216030681,59266.78301872543,12.044692277908323,openmm_minimized
fusionred,7.0,9.0,195710.42582815432,10636.034450540614,185074.3913776137,11.107378244400024,openmm_minimized
fusionred-m,8.0,11.0,336087.2736198981,11225.407474933258,324861.8661449648,11.275609970092772,openmm_minimized
fusionred-mqv,9.0,10.0,67867.87060028636,9841.259125865496,58026.61147442087,11.859519243240356,openmm_minimized
fwyellow,9.0,8.0,1788600820.9602065,17188.938031316404,1788583632.022175,12.25188946723938,openmm_minimized
g1,4.0,6.0,1051832502.122535,12240.87042426547,1051820261.2521108,13.306542158126833,openmm_minimized
g2,4.0,4.0,8252254.407699066,12332.107429172402,8239922.300269893,11.9111487865448,openmm_minimized
g3,7.0,8.0,5680293.770127303,12638.85593233344,5667654.914194969,10.289093494415283,openmm_minimized
g3gfp,6.0,7.0,227415.24609906532,11115.881713199564,216299.36438586577,10.819623708724976,openmm_minimized
gamillus01,14.0,12.0,6132885.062219354,12904.78519326271,6119980.277026092,10.886272192001345,openmm_minimized
gamillus02,8.0,15.0,31185361308.818043,14173.204746767444,31185347135.613297,12.243850469589232,openmm_minimized
gamillus03,9.0,13.0,166265.23082050055,12883.139336564567,153382.09148393598,12.566914558410645,openmm_minimized
gamillus04,10.0,17.0,461310761.5689113,12575.836875510586,461298185.7320358,12.718849182128906,openmm_minimized
gamillus05,9.0,16.0,131500.90769516493,12636.311406520144,118864.5962886448,12.133236169815063,openmm_minimized
gdjicp,3.0,7.0,52510.92496717997,12084.538100070462,40426.38686710951,11.781289339065552,openmm_minimized
gdt,7.0,10.0,-62770.68145962063,11863.50276498222,-74634.18422460285,12.254621982574465,openmm_minimized
gfasgfp,4.0,7.0,237388.97412951593,7968.448704701201,229420.52542481472,11.440065383911133,openmm_minimized
gfpe222g,7.0,6.0,51044.542696257726,11074.691814612212,39969.850881645514,13.325615882873535,openmm_minimized
gfpmut2,8.0,7.0,44860.7556768302,11923.482819928056,32937.27285690215,10.657101154327393,openmm_minimized
gfpmut3,6.0,6.0,53479.15394221638,12214.84459419824,41264.309348018134,10.42252516746521,openmm_minimized
